Date : 2024-01-12 14:36:48
Directory : /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G
Total : 112 files,  39655 codes, 10239 comments, 8830 blanks, all 58724 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C            |         36 |     31,873 |      5,867 |      6,297 |     44,037 |
| C++          |         62 |      6,180 |      4,190 |      2,153 |     12,523 |
| Python       |          2 |        823 |        141 |        186 |      1,150 |
| Markdown     |          4 |        321 |          0 |        111 |        432 |
| Makefile     |          3 |        248 |         28 |         56 |        332 |
| JSON         |          1 |        183 |          0 |          0 |        183 |
| Shell Script |          2 |         19 |         10 |         10 |         39 |
| CMake        |          2 |          8 |          3 |         17 |         28 |
+--------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |        112 |     39,655 |     10,239 |      8,830 |     58,724 |
| . (Files)                                                                                        |          4 |        864 |        144 |        211 |      1,219 |
| main                                                                                             |         54 |     24,839 |      5,811 |      5,490 |     36,140 |
| main (Files)                                                                                     |         53 |     24,656 |      5,811 |      5,490 |     35,957 |
| main/languages                                                                                   |          1 |        183 |          0 |          0 |        183 |
| mkspiffs                                                                                         |         54 |     13,952 |      4,284 |      3,129 |     21,365 |
| mkspiffs (Files)                                                                                 |          5 |        768 |        100 |        211 |      1,079 |
| mkspiffs/include                                                                                 |          2 |        157 |        154 |         36 |        347 |
| mkspiffs/spiffs                                                                                  |         23 |     10,371 |      1,920 |      1,973 |     14,264 |
| mkspiffs/spiffs (Files)                                                                          |          4 |        329 |         24 |         86 |        439 |
| mkspiffs/spiffs/src                                                                              |         19 |     10,042 |      1,896 |      1,887 |     13,825 |
| mkspiffs/spiffs/src (Files)                                                                      |          7 |      5,254 |      1,250 |        891 |      7,395 |
| mkspiffs/spiffs/src/default                                                                      |          1 |        171 |        155 |         37 |        363 |
| mkspiffs/spiffs/src/test                                                                         |         11 |      4,617 |        491 |        959 |      6,067 |
| mkspiffs/tclap                                                                                   |         24 |      2,656 |      2,110 |        909 |      5,675 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                         | language     | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/CMakeLists.txt                              | CMake        |          4 |          3 |          8 |         15 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/README.md                                   | Markdown     |         37 |          0 |         17 |         54 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/AT_CMD_List.h                          | C++          |         27 |         27 |         15 |         69 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/CMakeLists.txt                         | CMake        |          4 |          0 |          9 |         13 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/EG91.c                                 | C            |      4,185 |      1,293 |      1,034 |      6,512 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/EG91.h                                 | C++          |        190 |         26 |         83 |        299 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/MAX31341_registers.h                   | C++          |        104 |         43 |         18 |        165 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/UDP_Codes.c                            | C            |         26 |          9 |          5 |         40 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/UDP_Codes.h                            | C++          |          8 |        118 |         14 |        140 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/ble_spp_server_demo.c                  | C            |      1,185 |        335 |        250 |      1,770 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/ble_spp_server_demo.h                  | C++          |         86 |         18 |         46 |        150 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/ccronexpr.c                            | C            |      1,000 |        103 |        143 |      1,246 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/ccronexpr.h                            | C++          |         26 |         55 |         15 |         96 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/cmd_list.h                             | C++          |         69 |         21 |         21 |        111 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/core.c                                 | C            |      2,089 |        516 |        465 |      3,070 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/core.h                                 | C++          |        145 |         18 |         68 |        231 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/crc32.c                                | C            |        213 |          3 |         28 |        244 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/crc32.h                                | C++          |         20 |         48 |         15 |         83 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/cron.c                                 | C            |        205 |         22 |         32 |        259 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/cron.h                                 | C++          |         41 |        117 |         39 |        197 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/erro_list.h                            | C++          |         34 |          9 |          6 |         49 |
